"Ligand"	"logS"	"pmi"	"rgyr"	"ASA"	"ASA+"	"ASA-"	"ASA_H"	"ASA_P"	"CASA+"	"CASA-"	"DASA"	"DCASA"	"FASA+"	"FASA-"	"FASA_H"	"FASA_P"	"FCASA+"	"FCASA-"	"VSA"	"vsurf_A"	"vsurf_CP"	"vsurf_CW1"	"vsurf_CW2"	"vsurf_CW3"	"vsurf_CW4"	"vsurf_CW5"	"vsurf_CW6"	"vsurf_CW7"	"vsurf_CW8"	"vsurf_D1"	"vsurf_D2"	"vsurf_D3"	"vsurf_D4"	"vsurf_D5"	"vsurf_D6"	"vsurf_D7"	"vsurf_D8"	"vsurf_DD12"	"vsurf_DD13"	"vsurf_DD23"	"vsurf_DW12"	"vsurf_DW13"	"vsurf_DW23"	"vsurf_EDmin1"	"vsurf_EDmin2"	"vsurf_EDmin3"	"vsurf_EWmin1"	"vsurf_EWmin2"	"vsurf_EWmin3"	"vsurf_G"	"vsurf_HB1"	"vsurf_HB2"	"vsurf_HB3"	"vsurf_HB4"	"vsurf_HB5"	"vsurf_HB6"	"vsurf_HB7"	"vsurf_HB8"	"vsurf_HL1"	"vsurf_HL2"	"vsurf_ID1"	"vsurf_ID2"	"vsurf_ID3"	"vsurf_ID4"	"vsurf_ID5"	"vsurf_ID6"	"vsurf_ID7"	"vsurf_ID8"	"vsurf_IW1"	"vsurf_IW2"	"vsurf_IW3"	"vsurf_IW4"	"vsurf_IW5"	"vsurf_IW6"	"vsurf_IW7"	"vsurf_IW8"	"vsurf_R"	"vsurf_S"	"vsurf_V"	"vsurf_W1"	"vsurf_W2"	"vsurf_W3"	"vsurf_W4"	"vsurf_W5"	"vsurf_W6"	"vsurf_W7"	"vsurf_W8"	"vsurf_Wp1"	"vsurf_Wp2"	"vsurf_Wp3"	"vsurf_Wp4"	"vsurf_Wp5"	"vsurf_Wp6"	"vsurf_Wp7"	"vsurf_Wp8"	"glob"	"vol"	"MoE_logP"
"smallMol_1"	"-4.0862598"	"10100.661"	"5.0538712"	"689.16833"	"572.87323"	"116.29509"	"648.88062"	"40.287724"	"1335.9404"	"270.85126"	"456.57816"	"1065.0891"	"0.83125299"	"0.16874701"	"0.94154155"	"0.058458466"	"1.9384819"	"0.39301178"	"425.25943"	"2.6423922"	"0.31905466"	"2.594785"	"1.9374094"	"1.2413509"	"0.38052344"	"0.10692828"	"0.013808017"	"0.0025821284"	0	"974.25"	"607.375"	478	"399.75"	"334.125"	"237.875"	"149.625"	"102.625"	"0.86602539"	"0.70710677"	"0.5"	"0.5"	"1.118034"	"1.5811388"	"-2.6022704"	"-2.6005769"	"-2.6004255"	"-5.4447756"	"-5.2291865"	"-5.1780362"	"1.3744191"	"210.25"	"288.75"	"225.25"	"54.875"	"10.25"	0	"0.625"	0	"0.040533472"	"0.0053158225"	"0.41163668"	"0.3699356"	"0.34299168"	"0.46946943"	"0.56870681"	"0.83103305"	"0.91922152"	"0.96049166"	"0.33672845"	"0.84370142"	"1.305989"	"1.8105543"	"2.303139"	"2.2772343"	"3.4656374"	0	"1.4491559"	"616.6521"	"893.625"	"1370.75"	"774.5"	"357.75"	"81.625"	"19.375"	"2.125"	"0.625"	0	"1160.5"	"485.75"	"132.5"	"26.75"	"9.125"	"2.125"	0	0	"0.037999842"	"385.625"	"2.95648"
"smallMol_2"	"1.48217"	"21906.51"	"5.8250833"	"841.86188"	"626.375"	"215.48688"	"376.79266"	"465.06921"	"4465.4272"	"1536.2061"	"410.88809"	"2929.2212"	"0.74403536"	"0.25596467"	"0.44757065"	"0.55242938"	"5.3042278"	"1.8247721"	"605.5141"	"3.8526473"	"0.0063371011"	"2.7253695"	"2.5773566"	"2.2812049"	"1.6382928"	"1.0442795"	"0.58430231"	"0.24617191"	"0.091854185"	"387.25"	198	"130.5"	"91.375"	"56.75"	37	"19.875"	"7.25"	"0.86602539"	"0.86602539"	"1.7320508"	"8.2613554"	"7.9529867"	"0.70710677"	"-2.1189699"	"-2.1127656"	"-2.0084276"	"-8.5489607"	"-8.1567707"	"-8.1559639"	"1.4521708"	"667.75"	"992.75"	"908.625"	"537.25"	"280.875"	138	"53.5"	"18.625"	"2.3477011"	"1.5896033"	"2.0932088"	"2.4566364"	"2.7932808"	"3.184876"	"4.2737718"	"5.0795674"	"5.7295489"	"5.8191957"	"0.31300789"	"0.28079301"	"0.43202251"	"0.76047242"	"1.0606238"	"1.3717843"	"1.6969434"	"2.1956666"	"1.4908416"	"769.78333"	"1147.625"	"2130.125"	"1724.875"	"1185.75"	"617.375"	"306.375"	"145.25"	"55.875"	"19.75"	"1462.375"	"732.125"	"277.125"	"80.125"	"25.5"	"7.25"	"2.375"	"1.125"	"0.052787043"	"546.75"	"-7.5079999"
"smallMol_3"	"-2.8927901"	"6593.0703"	"4.4268541"	"639.77161"	"466.97992"	"172.79172"	"545.51801"	"94.253616"	"1042.7661"	"386.01672"	"294.18817"	"656.74945"	"0.72991657"	"0.27008343"	"0.85267615"	"0.14732385"	"1.6299037"	"0.60336643"	"406.11456"	"4.7347441"	"0.10611671"	"2.5943613"	"1.8175262"	"1.1793939"	"0.57047796"	"0.27689752"	"0.090589732"	"0.010974743"	0	"762.875"	"459.75"	"367.375"	"316.75"	"266.5"	"171.25"	"88.5"	"46.625"	"0.5"	"0.5"	"0.70710677"	"0.70710677"	"0.70710677"	"0.70710677"	"-2.4391568"	"-2.3872709"	"-2.3666735"	"-5.6616907"	"-5.6328354"	"-5.5661726"	"1.3675145"	285	"357.875"	"270.25"	"114.25"	"44.125"	"12.875"	"1.625"	0	"0.14120449"	"0.044198897"	"1.4794577"	"1.5314233"	"1.6600065"	"1.8457969"	"2.0070865"	"1.6382567"	"2.1220558"	"2.3551705"	"0.33083284"	"1.300848"	"1.9830918"	"2.6792834"	"3.1301708"	"4.2821712"	"5.1258469"	0	"1.4154657"	"579.49127"	"820.25"	"1255.75"	"716.125"	"367.875"	"139.875"	"51.875"	14	"1.625"	0	"970.75"	"358.25"	"97.625"	"25.625"	"7.75"	"1.125"	0	0	"0.066605791"	"349.25"	"1.7970001"
"smallMol_4"	"-2.2927699"	"5830.0723"	"4.5846777"	"566.83392"	"397.68115"	"169.15277"	"477.30606"	"89.52787"	"715.42841"	"304.64413"	"228.52838"	"410.78427"	"0.70158321"	"0.29841679"	"0.84205627"	"0.15794374"	"1.2621481"	"0.53744864"	"345.68811"	"6.2356238"	"0.16497861"	"2.6712494"	"1.8814551"	"1.049214"	"0.4457922"	"0.2094918"	"0.075188302"	"0.023206968"	"0.0039408873"	765	"454.875"	"356.625"	"316.125"	"274.625"	"205.75"	"109.75"	"57.25"	"0.86602539"	"7.5828753"	"7.8262382"	"0.5"	"0.5"	"0.70710677"	"-2.2925682"	"-2.2487049"	"-2.2314279"	"-6.6833611"	"-6.6165648"	"-6.4060016"	"1.3235477"	252	255	"174.5"	"65.625"	"27.75"	"9.875"	"3.25"	"0.625"	"0.1023484"	"0.036773428"	"0.99171662"	"0.89467067"	"1.2912638"	"1.6246405"	"1.8655078"	"1.5492511"	"0.71016687"	"1.4032118"	"1.0492136"	"2.6708927"	"3.5687814"	"4.3875251"	"4.9507852"	"6.2906299"	"8.0757713"	"8.140296"	"1.394684"	"510.06177"	"711.375"	"1131.875"	"601.875"	"269.375"	"92.375"	"36.5"	"11.625"	"3.25"	"0.625"	"879.875"	"346.875"	"94.875"	"26.75"	"8.75"	"1.75"	0	0	"0.062594436"	"294.75"	"1.0549999"
"smallMol_5"	"-1.23238"	"1034.6506"	"2.6162019"	"343.6188"	"230.20537"	"113.41344"	"256.8837"	"86.735107"	"250.92384"	"123.73406"	"116.79192"	"127.18979"	"0.66994405"	"0.33005598"	"0.74758333"	"0.25241664"	"0.73023897"	"0.36009106"	"177.85185"	"1.4153016"	"0.19857688"	"2.9290199"	"2.311065"	"1.2456735"	"0.53873765"	"0.21639743"	"0.027693728"	0	0	"441.25"	"258.75"	"193.5"	"166.75"	"141.125"	"102.625"	"66.5"	31	"0.5"	"6.5764732"	"6.5192022"	"0.86602539"	"0.5"	"0.70710677"	"-2.1212244"	"-2.0799158"	"-2.0726917"	"-4.5555825"	"-4.5269022"	"-4.4714017"	"1.1929284"	"182.625"	"216.125"	"132.375"	"41.75"	"12.125"	"1.75"	0	0	"0.098191217"	"0.014242878"	"0.34040889"	"0.4502731"	"0.61406016"	"0.65896285"	"0.69886857"	"0.66299832"	"0.81879592"	"0.93160838"	"0.22058941"	"0.53604561"	"0.71755749"	"0.83162051"	"0.91517478"	"2.1517675"	0	0	"1.2625186"	"306.03506"	"386.375"	"751.625"	"435.75"	"189.875"	"61.875"	19	"2.375"	0	0	569	"219.625"	"57.5"	"20.125"	"6.875"	"0.625"	0	0	"0.025622742"	"147.75"	"0.889"
"smallMol_6"	"-2.3608899"	"1768.8269"	"2.8211279"	"373.97546"	"222.66217"	"151.31328"	"223.16238"	"150.81306"	"322.86017"	"219.40425"	"71.3489"	"103.4559"	"0.59539247"	"0.4046075"	"0.59673005"	"0.40326995"	"0.8633191"	"0.58668089"	"196.00278"	"2.6404457"	"0.051070977"	"3.0187509"	"2.5550063"	"2.1567962"	"1.2869064"	"0.65375674"	"0.29626545"	"0.13720647"	"0.052145358"	"447.25"	245	"175.625"	"132.625"	"99.875"	"64.375"	43	"32.375"	"0.5"	"6.5192022"	"6.5764732"	"0.70710677"	"0.5"	"0.5"	"-2.6855042"	"-2.6755211"	"-2.603559"	"-8.2686348"	"-8.1444216"	"-8.1321821"	"1.2386301"	"211.875"	"320.375"	"300.5"	"159.125"	"69.125"	"32.375"	"14.375"	"4.5"	"0.46975088"	"0.26107445"	"0.70401227"	"1.1345901"	"1.6123201"	"2.2162654"	"2.7002659"	"2.3000832"	"1.852412"	"1.8546379"	"0.28915551"	"0.67429358"	"0.93973041"	"1.0992931"	"1.8302664"	"3.0761268"	"4.1070933"	"4.2995954"	"1.2543119"	"338.13358"	"424.125"	"1015.25"	"718.75"	"453.625"	199	"82.5"	"34.625"	"14.375"	"4.5"	"803.375"	"398.375"	"153.125"	"39.875"	"13.375"	"2.25"	0	0	"0.026081732"	"156.5"	"-0.93000001"
"smallMol_7"	"-0.75476998"	"923.92194"	"2.3793676"	"329.73001"	"196.38676"	"133.34323"	"202.66612"	"127.06388"	"271.79929"	"184.94707"	"63.043537"	"86.852226"	"0.5955987"	"0.40440127"	"0.61464262"	"0.38535738"	"0.82430863"	"0.56090456"	"173.60735"	"2.3444397"	"0.067344218"	"3.0569561"	"2.6943545"	"1.8550583"	"0.94391716"	"0.50537604"	"0.25341761"	"0.099321477"	"0.037213363"	"321.75"	"178.625"	"130.25"	96	"67.75"	"47.75"	"24.75"	"10.625"	"0.70710677"	"6.7082038"	"6.6708322"	"0.70710677"	"0.5"	"0.86602539"	"-2.2592056"	"-2.1991656"	"-2.1524136"	"-7.8666534"	"-7.5435181"	"-7.3042402"	"1.179886"	"281.875"	"352.125"	"243.75"	"108.375"	"50.375"	24	"8.875"	"2.875"	"0.42994243"	"0.26171875"	"0.97256625"	"0.89257663"	"0.88758028"	"0.73948967"	"0.64979011"	"0.64093035"	"0.83805472"	"0.69786972"	"0.40048862"	"0.56175309"	"0.89143872"	"1.3498179"	"1.5419247"	"1.9220338"	"2.7028122"	"3.493154"	"1.2510563"	"290.7543"	"363.75"	"813.5"	"560.5"	"306.5"	"126.125"	56	"25.125"	"8.875"	"2.875"	"531.625"	"208.375"	"62.75"	"17.75"	"5.625"	"1.125"	0	0	"0.18673968"	"139.125"	"-0.38"
"smallMol_8"	"-2.7590401"	"3381.4756"	"3.4364727"	"523.68396"	"418.37714"	"105.30681"	"438.21286"	"85.471062"	"881.93896"	"222.30267"	"313.07031"	"659.63629"	"0.79891151"	"0.20108849"	"0.83678883"	"0.16321117"	"1.6841055"	"0.42449778"	"312.94672"	"3.7735195"	"0.10414161"	"2.7158909"	"2.2165897"	"1.3572675"	"0.66061485"	"0.35639444"	"0.16929036"	"0.080587931"	"0.035676483"	"669.375"	"395.375"	"304.125"	"259.25"	"216.5"	171	107	"61.5"	"2.1213202"	"2.5980761"	"0.5"	"1.8708287"	"1.2247449"	"0.70710677"	"-2.9654965"	"-2.9039159"	"-2.8557522"	"-7.5998907"	"-7.5984817"	"-7.5873218"	"1.2855878"	"219.75"	"224.25"	"181.25"	"90.625"	"45.5"	"24.625"	"11.625"	"4.875"	"0.20345253"	"0.10607522"	"0.81547135"	"0.76937234"	"0.83533973"	"0.921817"	"0.99915951"	"0.90284443"	"1.120298"	"0.85920835"	"0.66402286"	"1.2381909"	"1.9099189"	"2.6285257"	"3.1549051"	"4.1422787"	"4.9355178"	"5.3494539"	"1.3910869"	"465.0141"	"646.875"	"1132.375"	686	"356.5"	"139.625"	"61.875"	"27.5"	"11.625"	"4.875"	"912.625"	"461.75"	"175.25"	49	"16.375"	"2.875"	0	0	"0.124828"	"277.875"	"0.40906"
"smallMol_9"	"-1.7078"	"1068.7454"	"2.4356177"	"344.00742"	"187.18764"	"156.81978"	"209.83696"	"134.17046"	"248.39799"	"207.62939"	"30.367853"	"40.7686"	"0.54413837"	"0.45586163"	"0.60997802"	"0.39002198"	"0.72207159"	"0.60356081"	"188.08826"	"5.0137753"	"0.11285439"	"2.9737144"	"2.3249714"	"1.4339753"	"0.76860559"	"0.39428565"	"0.1944631"	"0.087566093"	"0.028870774"	"422.625"	"238.375"	"179.75"	"155.75"	"135.75"	"107.25"	"58.75"	27	"1.118034"	"5.4083271"	"4.6368093"	"0.5"	"0.86602539"	"1.2247449"	"-2.1698053"	"-2.1656835"	"-2.1362636"	"-7.2966156"	"-6.9983859"	"-6.9586082"	"1.1705377"	"324.75"	"357.75"	246	105	"45.625"	"20.75"	"8.375"	"2.375"	"0.25382477"	"0.13322632"	"1.7645552"	"1.6138695"	"1.7699978"	"2.0598233"	"2.2603509"	"2.2616336"	"1.4513531"	"0.63769293"	"0.73792428"	"1.8405948"	"2.6289942"	"3.0544784"	"3.2476203"	"3.6444111"	"3.8799851"	"4.4210172"	"1.3142409"	"313.29871"	"411.75"	"835.75"	"496.375"	"259.75"	"105.125"	"45.625"	"20.75"	"8.375"	"2.375"	511	"138.625"	"13.75"	"0.125"	0	0	0	0	"0.19475244"	"162.5"	"1.5140001"
"smallMol_10"	"-0.68864"	"1277.4349"	"2.6746016"	"329.56302"	"157.19197"	"172.37105"	"221.88921"	"107.67381"	"211.10883"	"231.49431"	"15.179068"	"20.385487"	"0.47697091"	"0.52302909"	"0.6732831"	"0.3267169"	"0.64057195"	"0.70242804"	"173.19376"	"4.0144958"	"0.071775362"	"3.1257792"	"2.5516477"	"1.8455409"	"0.95663804"	"0.45001855"	"0.20995039"	"0.080691613"	"0.031983495"	"338.5"	"184.5"	"136.25"	"112.125"	"95.125"	"75.25"	"35.125"	"17.625"	"0.86602539"	"0.70710677"	"0.5"	"5.7879186"	"5.5"	"0.86602539"	"-2.0944839"	"-2.0063727"	"-1.9976635"	"-7.2036376"	"-7.0581665"	"-7.0310864"	"1.1938792"	"276.625"	"328.625"	"226.875"	"94.375"	"39.25"	"20.125"	"6.75"	"2.625"	"0.34495413"	"0.18171683"	"1.6594465"	"1.4158652"	"1.7047845"	"2.0760832"	"2.4580789"	"2.6411963"	"1.9465284"	"1.9175152"	"0.67768437"	"1.4540972"	"1.7699708"	"2.0031497"	"2.4200811"	"3.116616"	"4.8482361"	"4.7779293"	"1.2460887"	"298.83505"	"372.375"	"873.125"	"573.375"	"315.625"	"121.875"	47	"20.375"	"6.75"	"2.625"	"596.5"	"244.75"	"88.75"	"27.5"	"7.75"	"0.25"	0	0	"0.10550658"	"139.625"	"-2.4477301"
