"Ligand"	"MolecularRefractivity(Fast Descriptors)"	"MolecularFlexibility(Fast Descriptors)"	"MolecularArea(vdWarea)(Spatial Descriptors)"	"MolecularVolume(vdWvolume)(SpatialDescriptors)"	"MolecularDensity(SpatialDescriptors)"	"PrincipalMomentsOfInertia(magnitude)(SpatialDescriptors)"	"PrincipalMomentOfInertiaX(SpatialDescriptors)"	"PrincipalMomentOfInertiaY(SpatialDescriptors)"	"PrincipalMomentOfInertiaZ(SpatialDescriptors)"	"RadiusOfGyration(SpatialDescriptors)"	"EllipsoidalVolume(SpatialDescriptors)"	"DipoleMoment(magnitude)(Spatial Descriptors)"	"DipoleMomentX(SpatialDescriptors)"	"DipoleMomentY(SpatialDescriptors)"	"DipoleMomentZ(SpatialDescriptors)"	"SASA(JursDescriptors)"	"PPSA1(JursDescriptors)"	"PNSA1(JursDescriptors)"	"DPSA1(JursDescriptors)"	"PPSA2(JursDescriptors)"	"PNSA2(JursDescriptors)"	"DPSA2(JursDescriptors)"	"PPSA3(JursDescriptors)"	"PNSA3(JursDescriptors)"	"DPSA3 (Jurs Descriptors)"	"FPSA1(JursDescriptors)"	"FPSA2(JursDescriptors)"	"FPSA3(JursDescriptors)"	"FNSA1(JursDescriptors)"	"FNSA2(JursDescriptors)"	"FNSA3(JursDescriptors)"	"WPSA1(JursDescriptors)"	"WPSA2(JursDescriptors)"	"WPSA3(JursDescriptors)"	"WNSA1(JursDescriptors)"	"WNSA2(JursDescriptors)"	"WNSA3(JursDescriptors)"	"RPCG(JursDescriptors)"	"RNCG(JursDescriptors)"	"RPCS(JursDescriptors)"	"RNCS(JursDescriptors)"	"TPSA(JursDescriptors)"	"TASA(JursDescriptors)"	"RPSA(JursDescriptors)"	"RASA(JursDescriptors)"
"smallMol_1"	"114.45565"	"5.381212"	"427.96139392"	"359.67449743"	"1.09949133"	"13547.24"	"1121.41"	"9187.279"	"9892.632"	"5.51422146"	"2561.685"	"1.47551669"	"0.0868137"	"0.54033338"	"1.37027469"	"679.943372"	"572.327138"	"107.616234"	"464.710903"	"1434.859"	"-269.800608"	"1704.66"	"35.72059"	"-22.586072"	"58.306662"	"0.841728"	"2.110262"	"0.052535"	"0.158272"	"-0.396799"	"-0.033218"	"389.150044"	"975.622839"	"24.287978"	"73.172945"	"-183.449135"	"-15.35725"	"0.062321"	"0.15878"	"1.630587"	"1.66695"	"62.209307"	"617.734065"	"0.091492"	"0.908508"
"smallMol_2"	"137.601852"	"12.064258"	"650.19931608"	"548.09296236"	"1.17791694"	"29007.86"	"3053.695"	"19522.4"	"21236.93"	"5.92822168"	"2902.542"	"5.51901872"	"-4.45460771"	"3.12864234"	"0.90974441"	"852.213435"	"577.350933"	"274.862502"	"302.488431"	"4127.569"	"-1965.034"	"6092.603"	"71.323542"	"-102.761684"	"174.085226"	"0.677472"	"4.843351"	"0.083692"	"0.322528"	"-2.3058"	"-0.120582"	"492.026222"	"3517.57"	"60.782881"	"234.241517"	"-1674.628"	"-87.574888"	"0.02986"	"0.055053"	"0.801566"	"0.943796"	"501.074541"	"351.138894"	"0.587968"	"0.412032"
"smallMol_3"	"93.087227"	"8.601689"	"416.84629595"	"330.92531482"	"1.01664024"	"8598.522"	"1145.444"	"5762.126"	"6278.571"	"5.0702356"	"1788.37"	"5.88952643"	"-4.14824731"	"-2.96453192"	"2.94790033"	"638.835425"	"509.290557"	"129.544869"	"379.745688"	"1141.928"	"-290.464606"	"1432.393"	"26.839923"	"-26.470423"	"53.310346"	"0.797217"	"1.787515"	"0.042014"	"0.202783"	"-0.454678"	"-0.041435"	"325.352849"	"729.504015"	"17.146294"	"82.757851"	"-185.55908"	"-16.910244"	"0.099831"	"0.173664"	"0.506347"	"4.540222"	"105.588284"	"533.247142"	"0.165282"	"0.834718"
"smallMol_4"	"80.132599"	"6.73097"	"353.96703913"	"276.40453894"	"1.00348567"	"7919.894"	"480.45770159"	"5565.574"	"5614.112"	"4.85963709"	"1203.354"	"2.47524706"	"1.7088464"	"1.4533096"	"1.04622329"	"564.437735"	"426.62551"	"137.812225"	"288.813285"	"771.410126"	"-249.187422"	"1020.598"	"23.816849"	"-25.126735"	"48.943583"	"0.755842"	"1.366688"	"0.042196"	"0.244158"	"-0.441479"	"-0.044516"	"240.803537"	"435.412985"	"13.443128"	"77.78642"	"-140.650784"	"-14.182477"	"0.138708"	"0.193983"	"0.938048"	"0.678841"	"95.786665"	"468.65107"	"0.169703"	"0.830297"
"smallMol_5"	"40.834312"	"2.229821"	"178.98935489"	"139.30650344"	"1.0851252"	"1371.524"	"143.32059189"	"908.96624485"	"1017.014"	"3.022202"	"363.14263265"	"2.5588165"	"1.49701601"	"1.68817251"	"-1.20687968"	"344.913487"	"228.934424"	"115.979063"	"112.955361"	"250.527175"	"-126.918023"	"377.445198"	"18.285806"	"-23.413036"	"41.698842"	"0.663744"	"0.726348"	"0.053016"	"0.336256"	"-0.367971"	"-0.067881"	"78.96257"	"86.410202"	"6.307021"	"40.002743"	"-43.775738"	"-8.075472"	"0.201704"	"0.329846"	"1.266634"	"10.814553"	"98.875187"	"246.0383"	"0.286667"	"0.713333"
"smallMol_6"	"47.940002"	"2.589598"	"200.38892873"	"155.76089686"	"1.426783"	"2332.413"	"264.14852875"	"1556.904"	"1716.516"	"3.49130492"	"174.66745217"	"3.9339627"	"-2.43985709"	"-2.25667394"	"2.10489492"	"375.1847"	"172.971469"	"202.213231"	"-29.241761"	"439.240705"	"-513.496922"	"952.737627"	"15.67181"	"-71.416071"	"87.087881"	"0.46103"	"1.170732"	"0.041771"	"0.53897"	"-1.368651"	"-0.190349"	"64.896249"	"164.796392"	"5.879823"	"75.86731"	"-192.656189"	"-26.794217"	"0.58899"	"0.222251"	"0.303165"	"9.430091"	"140.690021"	"234.494679"	"0.374989"	"0.625011"
"smallMol_7"	"37.611805"	"4.058527"	"182.68342133"	"137.24103838"	"1.1890831"	"1114.699"	"395.32642656"	"600.66831274"	"851.7443646"	"2.4984996"	"172.701231"	"2.50967333"	"-0.53462698"	"2.39030225"	"0.54689065"	"330.966816"	"180.088576"	"150.87824"	"29.210335"	"250.296251"	"-209.698273"	"459.994524"	"15.885268"	"-37.243535"	"53.128803"	"0.544129"	"0.756258"	"0.047997"	"0.455871"	"-0.633593"	"-0.11253"	"59.603343"	"82.839753"	"5.257497"	"49.935691"	"-69.40317"	"-12.326374"	"0.202712"	"0.246967"	"0.195841"	"0.216064"	"132.832136"	"198.13468"	"0.401346"	"0.598654"
"smallMol_8"	"84.039513"	"2.81341"	"321.44648343"	"260.9412229"	"1.09733139"	"4225.124"	"953.57311972"	"2720.394"	"3088.984"	"3.9223263"	"905.70390356"	"2.13900808"	"-0.80723335"	"-0.06499366"	"1.97977415"	"524.657693"	"422.59823"	"102.059463"	"320.538767"	"964.6219"	"-232.960654"	"1197.583"	"36.316032"	"-24.840021"	"61.156053"	"0.805474"	"1.838574"	"0.069219"	"0.194526"	"-0.444024"	"-0.047345"	"221.719413"	"506.096301"	"19.053486"	"53.546282"	"-122.224599"	"-13.032508"	"0.097955"	"0.173391"	"1.064642"	"5.573442"	"84.981097"	"439.676596"	"0.161974"	"0.838026"
"smallMol_9"	"43.948814"	"2.892499"	"193.75767942"	"154.16665854"	"1.16859895"	"1288.227"	"491.07969485"	"645.67225219"	"1000.739"	"2.65784583"	"239.09688515"	"4.88477317"	"-1.34463238"	"-4.63897574"	"-0.72998405"	"352.395594"	"181.066493"	"171.329101"	"9.737392"	"240.82662"	"-227.875243"	"468.701863"	"13.088637"	"-37.810055"	"50.898692"	"0.513816"	"0.683398"	"0.037142"	"0.486184"	"-0.646646"	"-0.107294"	"63.807034"	"84.86624"	"4.612378"	"60.37562"	"-80.302232"	"-13.324097"	"0.220059"	"0.24646"	"1.488198"	"7.552456"	"144.659431"	"207.736164"	"0.410503"	"0.589497"
"smallMol_10"	"36.396404"	"2.559001"	"177.76182926"	"137.32730947"	"1.30036041"	"1665.915"	"230.18953988"	"1061.802"	"1262.878"	"2.43622362"	"288.90156865"	"1.14007632"	"-0.86229545"	"0.32897888"	"0.66932315"	"332.322459"	"137.710654"	"194.611805"	"-56.901152"	"185.716078"	"-262.452722"	"448.1688"	"14.6861"	"-35.530387"	"50.216487"	"0.414389"	"0.558843"	"0.044192"	"0.585611"	"-0.789753"	"-0.106915"	"45.764343"	"61.717624"	"4.880521"	"64.673874"	"-87.218934"	"-11.807546"	"0.206147"	"0.24503"	"1.045588"	"8.296258"	"117.57016"	"214.752299"	"0.353783"	"0.646217"
