"Ligand"	"Vss"
"smallMol_1"	"6.3"
"smallMol_2"	"0.32"
"smallMol_3"	"1.7"
"smallMol_4"	"1.9"
"smallMol_5"	1
"smallMol_6"	"0.37"
"smallMol_7"	"0.55"
"smallMol_8"	"0.84"
"smallMol_9"	"0.22"
"smallMol_10"	"0.5"
"smallMol_11"	"0.71"
"smallMol_12"	"0.42"
"smallMol_13"	"0.98"
"smallMol_14"	"1.9"
"smallMol_15"	"0.32"
"smallMol_16"	"0.45"
"smallMol_17"	"1.5"
"smallMol_18"	"1.6"
"smallMol_19"	"0.58"
"smallMol_20"	"2.2"
"smallMol_21"	"1.1"
"smallMol_22"	"0.8"
"smallMol_23"	"3.2"
"smallMol_24"	"6.6"
"smallMol_25"	"0.37"
"smallMol_26"	"0.16"
"smallMol_27"	60
"smallMol_28"	"8.7"
"smallMol_29"	17
"smallMol_30"	"0.25"
"smallMol_31"	"6.1"
"smallMol_32"	"0.22"
"smallMol_33"	"1.3"
"smallMol_34"	"1.6"
"smallMol_35"	"0.77"
"smallMol_36"	"0.17"
"smallMol_37"	"4.9"
"smallMol_38"	15
"smallMol_39"	"0.95"
"smallMol_40"	"0.6"
"smallMol_41"	"3.3"
"smallMol_42"	"0.47"
"smallMol_43"	"0.12"
"smallMol_44"	15
"smallMol_45"	13
"smallMol_46"	33
"smallMol_47"	"0.26"
"smallMol_48"	"0.18"
"smallMol_49"	"1.6"
"smallMol_50"	"0.29"
"smallMol_51"	"3.8"
"smallMol_52"	"1.3"
"smallMol_53"	"0.28"
"smallMol_54"	"4.8"
"smallMol_55"	"0.67"
"smallMol_56"	"0.2"
"smallMol_57"	12
"smallMol_58"	"2.4"
"smallMol_59"	"0.29"
"smallMol_60"	"0.85"
"smallMol_61"	"0.11"
"smallMol_62"	"3.1"
"smallMol_63"	"0.75"
"smallMol_64"	"3.9"
"smallMol_65"	"1.3"
"smallMol_66"	"1.7"
"smallMol_67"	"0.16"
"smallMol_68"	"0.72"
"smallMol_69"	"0.84"
"smallMol_70"	"4.9"
"smallMol_71"	"0.55"
"smallMol_72"	12
"smallMol_73"	"0.63"
"smallMol_74"	"0.75"
"smallMol_75"	"0.17"
"smallMol_76"	"1.2"
"smallMol_77"	"0.18"
"smallMol_78"	"1.3"
"smallMol_79"	"0.23"
"smallMol_80"	"0.16"
"smallMol_81"	"0.22"
"smallMol_82"	"0.12"
"smallMol_83"	"0.28"
"smallMol_84"	"0.28"
"smallMol_85"	"0.24"
"smallMol_86"	"0.13"
"smallMol_87"	"0.054"
"smallMol_88"	"0.17"
"smallMol_89"	"0.17"
"smallMol_90"	"0.19"
"smallMol_91"	"0.13"
"smallMol_92"	"0.17"
"smallMol_93"	"0.24"
"smallMol_94"	"0.21"
"smallMol_95"	"0.31"
"smallMol_96"	"0.2"
"smallMol_97"	"0.085"
"smallMol_98"	"0.15"
"smallMol_99"	"0.21"
"smallMol_100"	"0.46"
"smallMol_101"	"0.07"
"smallMol_102"	"0.13"
"smallMol_103"	"0.21"
"smallMol_104"	"0.33"
"smallMol_105"	"0.26"
"smallMol_106"	"0.94"
"smallMol_107"	"0.2"
"smallMol_108"	"0.25"
"smallMol_109"	"6.6"
"smallMol_110"	140
"smallMol_111"	"3.3"
"smallMol_112"	10
"smallMol_113"	"0.19"
"smallMol_114"	"0.9"
"smallMol_115"	"3.9"
"smallMol_116"	"4.1"
"smallMol_117"	"0.49"
"smallMol_118"	"0.15"
"smallMol_119"	"1.2"
"smallMol_120"	"2.1"
"smallMol_121"	12
"smallMol_122"	"7.7"
"smallMol_123"	"1.5"
"smallMol_124"	"0.22"
"smallMol_125"	"1.9"
"smallMol_126"	"0.79"
"smallMol_127"	13
"smallMol_128"	"2.9"
"smallMol_129"	"3.3"
"smallMol_130"	"1.6"
"smallMol_131"	"1.6"
"smallMol_132"	2
"smallMol_133"	"3.5"
"smallMol_134"	"6.1"
"smallMol_135"	"1.1"
"smallMol_136"	"0.73"
"smallMol_137"	"3.3"
"smallMol_138"	"1.2"
"smallMol_139"	"0.37"
"smallMol_140"	"0.83"
"smallMol_141"	"1.3"
"smallMol_142"	15
"smallMol_143"	"0.45"
